movie_id,title,year,certificate,runtime_minutes,genre,rating,metascore,description,director,stars,votes,gross_millions
tt1000996,Secret Destiny 889,2002,PG-13,97,"Western, Musical",9.0,,A thrilling western adventure.,Akira Kurosawa,"Harrison Ford, Johnny Depp, Edward Norton, Keanu Reeves",1164424,
tt1000425,Secret Chronicles 318,2013,PG-13,122,"Biography, Horror",8.9,75.0,A critically acclaimed biography masterpiece.,Ridley Scott,"Robert Downey Jr., Kate Winslet, Tom Cruise",216018,
tt1000010,Goodfellas,1977,PG,107,"Fantasy, Family, Action",8.9,100.0,An epic fantasy tale directed by Ava DuVernay.,Ava DuVernay,"Amy Adams, Jack Nicholson, Brad Pitt, Leonardo DiCaprio, Mark Ruffalo",70408,19.98
tt1000194,Secret Journey 87,1997,PG-13,132,"War, Documentary",8.8,84.0,A war film set in 1997.,Frank Darabont,"Zendaya, Amy Adams, Harrison Ford, Scarlett Johansson",157304,181.29
tt1000024,Life is Beautiful,1960,PG-13,119,"Documentary, Fantasy, War",8.8,,A critically acclaimed documentary masterpiece.,Quentin Tarantino,"Matt Damon, Edward Norton, Mark Ruffalo, Viola Davis, Denzel Washington",1411,263.5
tt1000027,Terminator 2,1963,PG-13,127,Horror,8.8,100.0,A thrilling horror adventure.,Martin Scorsese,"Cate Blanchett, Mark Ruffalo, Natalie Portman",33020,218.75
tt1000039,Psycho,1961,PG-13,96,"Mystery, Drama",8.7,90.0,A thrilling mystery adventure.,Wong Kar-wai,"Scarlett Johansson, Zendaya, Mark Ruffalo, Anthony Hopkins",221952,186.09
tt1000367,Final Journey 260,2024,PG,70,Adventure,8.7,72.0,A adventure film set in 2024.,Stanley Kubrick,"Samuel L. Jackson, Jack Nicholson, Edward Norton, Harrison Ford, Tom Hanks",97124,642.62
tt1000475,Final Secrets 368,2011,PG,80,"Documentary, Romance",8.7,,A documentary film set in 2011.,Bong Joon-ho,"Mark Ruffalo, Daniel Day-Lewis, Jack Nicholson, Brad Pitt, Margot Robbie",22886,
tt1000532,A Mission 425,2018,PG,132,"Action, Mystery",8.7,84.0,An epic action tale directed by Greta Gerwig.,Greta Gerwig,"Zendaya, Robert Downey Jr., Daniel Day-Lewis",123542,987.17
tt1000739,The Mission 632,2004,PG,118,Animation,8.7,86.0,A critically acclaimed animation masterpiece.,Alfred Hitchcock,"Scarlett Johansson, Samuel L. Jackson, Matt Damon",82668,50.27
tt1000070,The Departed,1987,R,131,"Comedy, Documentary",8.7,77.0,A critically acclaimed comedy masterpiece.,Christopher Nolan,"Margot Robbie, Brad Pitt, Anthony Hopkins, Gary Oldman",300536,38.26
tt1000085,Dances with Wolves,1992,G,110,Adventure,8.7,,A adventure film set in 1992.,Sam Mendes,"Mark Ruffalo, Jennifer Lawrence, Jack Nicholson, Emma Stone",41424,204.77
tt1000337,Final Adventures 230,2017,PG,123,"Adventure, Musical",8.7,76.0,An epic adventure tale directed by Park Chan-wook.,Park Chan-wook,"Harrison Ford, Edward Norton, Denzel Washington, Tom Cruise",42588,67.67
tt1000406,Lost Story 299,2023,R,103,"Comedy, Sci-Fi",8.7,,A comedy film set in 2023.,Ridley Scott,"Scarlett Johansson, Tom Cruise, Will Smith, Cate Blanchett",20164,698.26
tt1000641,A Revolution 534,2003,PG-13,124,"Romance, War, Western",8.7,84.0,A romance film set in 2003.,Ang Lee,"Matt Damon, Emma Stone, Margot Robbie",30152,481.83
tt1000022,Casablanca,1949,R,118,"Thriller, Action",8.6,92.0,A thriller film set in 1949.,Danny Boyle,"Tom Hanks, Jennifer Lawrence, Natalie Portman, Robert De Niro, Jack Nicholson",123595,281.54
tt1000498,Last Mystery 391,2014,PG,150,"Biography, Crime",8.6,,A critically acclaimed biography masterpiece.,Kathryn Bigelow,"Brad Pitt, Daniel Day-Lewis, Gary Oldman",2500000,386.05
tt1000030,The Avengers,1976,PG-13,121,"Drama, Horror",8.6,78.0,A thrilling drama adventure.,Danny Boyle,"Johnny Depp, Cate Blanchett, Timothée Chalamet, Scarlett Johansson",25064,
tt1000153,An Mission 46,1990,R,96,"Comedy, Action",8.6,100.0,A comedy film set in 1990.,Francis Ford Coppola,"Keanu Reeves, Jack Nicholson, Robert Downey Jr., Chris Hemsworth",126252,203.62
tt1000827,An Chronicles 720,2022,PG,154,Action,8.6,75.0,An epic action tale directed by Akira Kurosawa.,Akira Kurosawa,"Zendaya, Al Pacino, Florence Pugh",37916,572.53
tt1000084,The Silence of the Lambs,1988,R,162,Romance,8.6,,An epic romance tale directed by Martin Scorsese.,Martin Scorsese,"Margot Robbie, Johnny Depp, Al Pacino",7354,
tt1000747,An Legend 640,2013,G,131,"Sci-Fi, Romance",8.6,86.0,A thrilling sci-fi adventure.,Clint Eastwood,"Mark Ruffalo, Chris Hemsworth, Natalie Portman, Robert De Niro, Denzel Washington",11460,
tt1000911,Final Mystery 804,2017,PG,102,"Comedy, Family",8.6,,A thrilling comedy adventure.,Ava DuVernay,"Tom Cruise, Harrison Ford, Cate Blanchett",53996,
tt1000018,Whiplash,1972,PG-13,140,Documentary,8.6,84.0,A thrilling documentary adventure.,Guillermo del Toro,"Viola Davis, Al Pacino, Keanu Reeves, Kate Winslet, Denzel Washington",20403,163.31
tt1000067,The Kings Speech,1984,PG-13,131,Drama,8.6,,A thrilling drama adventure.,David Fincher,"Zendaya, Natalie Portman, Johnny Depp, Gary Oldman",349068,204.76
tt1000058,Guardians of the Galaxy,1983,R,125,"Fantasy, Romance",8.5,,A fantasy film set in 1983.,Martin Scorsese,"Samuel L. Jackson, Zendaya, Al Pacino, Kate Winslet",73263,
tt1000207,A Empire 100,2024,PG,129,"Mystery, Thriller",8.5,76.0,An epic mystery tale directed by Francis Ford Coppola.,Francis Ford Coppola,"Brad Pitt, Matt Damon, Meryl Streep",901014,632.39
tt1000310,The Awakening 203,2013,PG,108,"Sci-Fi, Crime",8.5,93.0,A critically acclaimed sci-fi masterpiece.,Edgar Wright,"Mark Ruffalo, Viola Davis, Meryl Streep, Chris Hemsworth",13644,489.01
tt1000099,Rocky,1988,R,126,Adventure,8.5,90.0,A adventure film set in 1988.,David Fincher,"Robert De Niro, Mark Ruffalo, Al Pacino, Timothée Chalamet, Amy Adams",184750,
tt1000076,American Beauty,1998,R,105,"Drama, Action",8.5,,A thrilling drama adventure.,Christopher Nolan,"Meryl Streep, Amy Adams, Florence Pugh",40038,39.02
tt1000086,Driving Miss Daisy,1984,PG,128,"Fantasy, Sci-Fi",8.5,90.0,A fantasy film set in 1984.,Sam Mendes,"Al Pacino, Samuel L. Jackson, Robert De Niro, Tom Hanks",17888,23.19
tt1000541,First Legend 434,2002,PG,106,"Musical, Thriller",8.5,95.0,A thrilling musical adventure.,Martin Scorsese,"Johnny Depp, Amy Adams, Natalie Portman, Margot Robbie, Meryl Streep",605142,498.25
tt1000078,Titanic,1996,R,162,"Comedy, Western, Romance",8.5,88.0,A critically acclaimed comedy masterpiece.,Greta Gerwig,"Al Pacino, Mark Ruffalo, Emma Stone, Leonardo DiCaprio",5740,
tt1000506,Lost Chronicles 399,2006,G,99,Thriller,8.5,85.0,A critically acclaimed thriller masterpiece.,Bong Joon-ho,"Kate Winslet, Jack Nicholson, Robert De Niro",747654,52.74
tt1000945,An Mystery 838,2020,PG-13,114,Thriller,8.5,73.0,A critically acclaimed thriller masterpiece.,Frank Darabont,"Florence Pugh, Denzel Washington, Tom Hanks, Johnny Depp, Zendaya",1372418,128.5
tt1000002,The Dark Knight,1944,Not Rated,151,"Thriller, Sci-Fi",8.5,82.0,An epic thriller tale directed by Sam Mendes.,Sam Mendes,"Timothée Chalamet, Mark Ruffalo, Florence Pugh, Johnny Depp",35528,137.85
tt1000013,Interstellar,1974,PG-13,123,Documentary,8.5,,A critically acclaimed documentary masterpiece.,Bong Joon-ho,"Timothée Chalamet, Christian Bale, Emma Stone",92908,267.33
tt1000011,The Silence of the Lambs,1970,NC-17,98,"Mystery, Romance, Action",8.5,,An epic mystery tale directed by Stanley Kubrick.,Stanley Kubrick,"Scarlett Johansson, Harrison Ford, Meryl Streep, Matt Damon, Gary Oldman",11510,63.84
tt1000576,Lost Journey 469,2019,PG,127,"Fantasy, Thriller",8.5,98.0,A fantasy film set in 2019.,Quentin Tarantino,"Will Smith, Jennifer Lawrence, Robert De Niro",85642,461.89
tt1000055,Top Gun: Maverick,1998,PG-13,128,"Adventure, Family",8.5,,A critically acclaimed adventure masterpiece.,Ridley Scott,"Margot Robbie, Kate Winslet, Denzel Washington",2060246,59.8
tt1000048,1917,1962,Not Rated,125,"Animation, Mystery",8.5,86.0,An epic animation tale directed by Ang Lee.,Ang Lee,"Leonardo DiCaprio, Jack Nicholson, Samuel L. Jackson",11235,185.74
tt1000021,The Usual Suspects,1962,R,96,"Sci-Fi, Fantasy",8.5,81.0,An epic sci-fi tale directed by Steven Spielberg.,Steven Spielberg,"Emma Stone, Harrison Ford, Edward Norton, Anthony Hopkins",549453,297.89
tt1000813,Secret Legend 706,2005,PG-13,87,"Fantasy, Crime",8.4,,A critically acclaimed fantasy masterpiece.,Akira Kurosawa,"Edward Norton, Christian Bale, Viola Davis, Denzel Washington",951056,478.05
tt1000049,Everything Everywhere All at Once,1975,R,93,"Animation, Western",8.4,98.0,A animation film set in 1975.,Hayao Miyazaki,"Zendaya, Tom Hanks, Amy Adams",112172,174.69
tt1000041,Blade Runner,1968,PG-13,91,Adventure,8.4,88.0,A critically acclaimed adventure masterpiece.,Robert Zemeckis,"Keanu Reeves, Gary Oldman, Jack Nicholson, Tom Hanks, Al Pacino",1920324,84.58
tt1000937,A Journey 830,2023,PG-13,107,Romance,8.4,93.0,An epic romance tale directed by Wong Kar-wai.,Wong Kar-wai,"Brad Pitt, Meryl Streep, Morgan Freeman",73960,835.91
tt1000052,Dune,2000,PG-13,157,"Drama, Crime",8.4,,A drama film set in 2000.,Ang Lee,"Leonardo DiCaprio, Natalie Portman, Will Smith, Robert De Niro",20054,193.94
tt1000044,La La Land,1940,PG-13,98,"Animation, Mystery",8.4,81.0,A critically acclaimed animation masterpiece.,Ang Lee,"Brad Pitt, Chris Hemsworth, Margot Robbie, Cate Blanchett, Amy Adams",18091,
tt1000341,A Empire 234,2013,NC-17,162,"Comedy, Animation",8.4,71.0,A critically acclaimed comedy masterpiece.,Ridley Scott,"Morgan Freeman, Keanu Reeves, Tom Cruise",230412,
tt1000256,An Kingdom 149,2022,PG-13,107,"Western, Mystery",8.4,,A western film set in 2022.,Wong Kar-wai,"Chris Hemsworth, Daniel Day-Lewis, Robert De Niro",346200,512.3
tt1000322,First Journey 215,2007,PG-13,106,"Western, Thriller",8.4,81.0,A critically acclaimed western masterpiece.,Akira Kurosawa,"Robert Downey Jr., Mark Ruffalo, Meryl Streep, Al Pacino",112746,383.09
tt1000733,Final Quest 626,2003,Not Rated,129,"War, Romance, Fantasy",8.4,76.0,A war film set in 2003.,Stanley Kubrick,"Anthony Hopkins, Amy Adams, Tom Hanks, Will Smith, Margot Robbie",89930,473.41
tt1000069,No Country for Old Men,1997,R,130,Drama,8.4,70.0,A thrilling drama adventure.,Greta Gerwig,"Tom Cruise, Keanu Reeves, Cate Blanchett",2500000,217.75
tt1000140,A Chronicles 33,1997,R,161,"Musical, Documentary, Adventure",8.4,88.0,A thrilling musical adventure.,Denis Villeneuve,"Brad Pitt, Jack Nicholson, Anthony Hopkins, Margot Robbie, Keanu Reeves",82428,
tt1000770,Secret Legend 663,2001,PG,113,Biography,8.4,,A critically acclaimed biography masterpiece.,Christopher Nolan,"Leonardo DiCaprio, Margot Robbie, Anthony Hopkins, Chris Hemsworth, Tom Hanks",169100,
tt1000675,Last Journey 568,2003,PG,123,Family,8.4,80.0,An epic family tale directed by Steven Spielberg.,Steven Spielberg,"Emma Stone, Edward Norton, Daniel Day-Lewis, Amy Adams",768016,185.42
tt1000763,A Destiny 656,2004,PG,148,"Family, Sci-Fi",8.4,,A critically acclaimed family masterpiece.,Hayao Miyazaki,"Amy Adams, Harrison Ford, Margot Robbie, Jack Nicholson, Scarlett Johansson",519922,415.45
tt1000019,The Prestige,1969,PG-13,113,"Romance, Drama",8.3,69.0,A romance film set in 1969.,Christopher Nolan,"Natalie Portman, Robert De Niro, Meryl Streep, Edward Norton, Zendaya",310406,169.85
tt1000145,Secret Dreams 38,1981,G,121,"Mystery, Action",8.3,,An epic mystery tale directed by Clint Eastwood.,Clint Eastwood,"Kate Winslet, Scarlett Johansson, Florence Pugh",9064,
tt1000377,Last Legend 270,2024,PG-13,128,"Thriller, Action",8.3,,A thrilling thriller adventure.,David Fincher,"Morgan Freeman, Natalie Portman, Florence Pugh, Christian Bale, Robert Downey Jr.",236438,150.6
tt1000236,An Dreams 129,2001,PG,78,"Sci-Fi, Adventure, Family",8.3,,A sci-fi film set in 2001.,Quentin Tarantino,"Chris Hemsworth, Kate Winslet, Robert Downey Jr., Matt Damon",164336,
tt1000590,Lost Chronicles 483,2019,PG,120,"Documentary, Biography",8.3,,A thrilling documentary adventure.,Frank Darabont,"Robert Downey Jr., Denzel Washington, Daniel Day-Lewis, Brad Pitt, Leonardo DiCaprio",47058,
tt1000050,Oppenheimer,1982,PG-13,125,Romance,8.3,93.0,A romance film set in 1982.,Guillermo del Toro,"Amy Adams, Zendaya, Jack Nicholson, Kate Winslet, Margot Robbie",25906,282.5
tt1000051,Barbie,1983,NC-17,124,Adventure,8.3,80.0,A thrilling adventure adventure.,Coen Brothers,"Matt Damon, Mark Ruffalo, Christian Bale, Timothée Chalamet, Edward Norton",24607,106.21
tt1000032,Avatar,1974,NC-17,125,"Documentary, Action, Comedy",8.3,,A documentary film set in 1974.,Quentin Tarantino,"Gary Oldman, Brad Pitt, Scarlett Johansson",72402,
tt1000038,Vertigo,1955,PG-13,116,"Family, Mystery",8.3,70.0,A thrilling family adventure.,Ridley Scott,"Al Pacino, Keanu Reeves, Zendaya, Denzel Washington, Jack Nicholson",68203,255.59
tt1000023,City of Lights,1943,R,107,"Family, Crime",8.3,92.0,A critically acclaimed family masterpiece.,Quentin Tarantino,"Keanu Reeves, Robert Downey Jr., Scarlett Johansson",721707,18.05
tt1000801,Lost Destiny 694,2024,R,114,"Action, Sci-Fi",8.3,90.0,A thrilling action adventure.,Christopher Nolan,"Tom Hanks, Chris Hemsworth, Anthony Hopkins, Cate Blanchett, Amy Adams",894336,676.44
tt1000774,An Mystery 667,2015,R,129,"Musical, Thriller",8.3,82.0,A critically acclaimed musical masterpiece.,Stanley Kubrick,"Margot Robbie, Tom Cruise, Harrison Ford, Daniel Day-Lewis, Cate Blanchett",118746,434.07
tt1000190,Secret Kingdom 83,1982,PG-13,120,"Romance, Horror",8.3,68.0,An epic romance tale directed by Sam Mendes.,Sam Mendes,"Kate Winslet, Florence Pugh, Tom Cruise, Gary Oldman",117325,106.37
tt1000910,Lost Mystery 803,2010,PG,144,"Western, Documentary",8.3,,A thrilling western adventure.,Spike Lee,"Zendaya, Al Pacino, Matt Damon",278582,385.34
tt1000037,Citizen Kane,1957,NC-17,119,"Action, Adventure",8.2,85.0,A action film set in 1957.,Jordan Peele,"Natalie Portman, Johnny Depp, Daniel Day-Lewis",2500000,
tt1000222,An Empire 115,2006,PG-13,114,Musical,8.2,73.0,An epic musical tale directed by Peter Jackson.,Peter Jackson,"Tom Hanks, Anthony Hopkins, Tom Cruise, Meryl Streep, Samuel L. Jackson",2244,266.4
tt1000007,Forrest Gump,1969,PG-13,115,"Biography, Horror",8.2,,An epic biography tale directed by Bong Joon-ho.,Bong Joon-ho,"Will Smith, Mark Ruffalo, Chris Hemsworth",8476,
tt1000210,The Story 103,2002,PG-13,86,"Thriller, Family, Fantasy",8.2,,A thrilling thriller adventure.,Bong Joon-ho,"Tom Cruise, Jennifer Lawrence, Matt Damon",94478,
tt1000008,Inception,1959,PG-13,109,"Musical, Mystery",8.2,,A thrilling musical adventure.,Robert Zemeckis,"Will Smith, Robert Downey Jr., Morgan Freeman, Harrison Ford, Anthony Hopkins",12782,
tt1000025,Spirited Away,1964,PG,136,"War, Family",8.2,89.0,An epic war tale directed by Edgar Wright.,Edgar Wright,"Harrison Ford, Amy Adams, Jennifer Lawrence",45880,
tt1000036,The Shining,1950,R,125,"Mystery, Thriller",8.2,,A mystery film set in 1950.,Martin Scorsese,"Natalie Portman, Amy Adams, Will Smith",4040,254.37
tt1000304,A Empire 197,2008,PG,124,"Mystery, Biography",8.2,,A thrilling mystery adventure.,Wong Kar-wai,"Christian Bale, Harrison Ford, Chris Hemsworth, Morgan Freeman, Tom Hanks",103798,110.53
tt1000309,The Empire 202,2013,PG,127,"Comedy, Sci-Fi",8.2,75.0,A thrilling comedy adventure.,Pedro Almodóvar,"Timothée Chalamet, Robert De Niro, Anthony Hopkins, Al Pacino, Leonardo DiCaprio",108500,
tt1000287,An War 180,2003,R,89,"Documentary, Fantasy, Western",8.2,72.0,A thrilling documentary adventure.,Guillermo del Toro,"Denzel Washington, Cate Blanchett, Morgan Freeman, Johnny Depp",1770838,432.74
tt1000984,Dark Empire 877,2002,PG,129,War,8.2,73.0,A critically acclaimed war masterpiece.,Hayao Miyazaki,"Margot Robbie, Brad Pitt, Emma Stone, Viola Davis, Harrison Ford",28846,10.23
tt1000750,A Destiny 643,2019,PG-13,117,Thriller,8.2,95.0,A thriller film set in 2019.,Park Chan-wook,"Robert De Niro, Timothée Chalamet, Will Smith",13580,677.4
tt1000075,Gladiator,1980,PG-13,141,"Horror, Comedy",8.2,70.0,An epic horror tale directed by Hayao Miyazaki.,Hayao Miyazaki,"Denzel Washington, Viola Davis, Christian Bale, Florence Pugh",14266,131.65
tt1000788,First Destiny 681,2001,PG,107,"Musical, Animation",8.2,95.0,A thrilling musical adventure.,Edgar Wright,"Jennifer Lawrence, Viola Davis, Samuel L. Jackson, Zendaya",53606,46.22
tt1000093,Gandhi,1982,G,112,Musical,8.2,85.0,A musical film set in 1982.,Bong Joon-ho,"Timothée Chalamet, Matt Damon, Margot Robbie",193981,182.49
tt1000077,Shakespeare in Love,1985,PG-13,124,"Family, War, Fantasy",8.2,92.0,A family film set in 1985.,Danny Boyle,"Margot Robbie, Will Smith, Robert De Niro, Florence Pugh, Morgan Freeman",27034,
tt1000062,The Revenant,1991,PG-13,129,"Comedy, Western",8.2,,A thrilling comedy adventure.,Ryan Coogler,"Harrison Ford, Daniel Day-Lewis, Natalie Portman",33622,148.97
tt1000057,Avatar: The Way of Water,1987,PG,103,"Musical, Documentary",8.2,,An epic musical tale directed by James Cameron.,James Cameron,"Harrison Ford, Florence Pugh, Meryl Streep, Kate Winslet",119856,54.62
tt1000080,Braveheart,1980,R,104,"Drama, Mystery, Family",8.2,68.0,A thrilling drama adventure.,Edgar Wright,"Chris Hemsworth, Jack Nicholson, Natalie Portman, Tom Cruise, Jennifer Lawrence",153246,107.19
tt1000728,The Legend 621,2008,R,75,"Mystery, Western",8.2,84.0,An epic mystery tale directed by Bong Joon-ho.,Bong Joon-ho,"Zendaya, Johnny Depp, Cate Blanchett, Natalie Portman, Chris Hemsworth",14146,
tt1000721,An Journey 614,2022,PG,142,"Animation, Action",8.2,95.0,A animation film set in 2022.,Ava DuVernay,"Harrison Ford, Florence Pugh, Kate Winslet, Robert Downey Jr.",26120,316.14
tt1000505,First Kingdom 398,2019,PG,117,"Biography, Mystery, Romance",8.2,75.0,A critically acclaimed biography masterpiece.,Christopher Nolan,"Mark Ruffalo, Brad Pitt, Timothée Chalamet, Florence Pugh, Tom Cruise",308464,225.6
tt1000120,An Empire 13,1992,PG-13,130,"Sci-Fi, Family, Crime",8.2,72.0,A thrilling sci-fi adventure.,Ron Howard,"Johnny Depp, Margot Robbie, Matt Damon, Al Pacino",101722,126.87
tt1000443,Secret Kingdom 336,2024,PG-13,131,"Crime, Comedy, Drama",8.2,,An epic crime tale directed by Christopher Nolan.,Christopher Nolan,"Cate Blanchett, Robert De Niro, Scarlett Johansson, Jack Nicholson",745112,287.21
tt1000462,Last Kingdom 355,2003,R,146,"Musical, Family",8.2,83.0,A musical film set in 2003.,Alfred Hitchcock,"Denzel Washington, Will Smith, Leonardo DiCaprio",125636,177.65
tt1000359,An Legend 252,2000,PG-13,111,Biography,8.2,97.0,A thrilling biography adventure.,Alfred Hitchcock,"Johnny Depp, Tom Hanks, Al Pacino, Emma Stone",428684,294.49
tt1000275,A Mystery 168,2020,NC-17,149,"Crime, Thriller",8.2,82.0,A thrilling crime adventure.,Clint Eastwood,"Meryl Streep, Robert De Niro, Samuel L. Jackson",54658,186.68
tt1000632,Final Story 525,2003,R,114,Documentary,8.2,97.0,An epic documentary tale directed by Hayao Miyazaki.,Hayao Miyazaki,"Robert Downey Jr., Margot Robbie, Anthony Hopkins, Matt Damon",277762,251.71
tt1000712,A Quest 605,2024,R,122,"Action, Mystery",8.2,70.0,A action film set in 2024.,Francis Ford Coppola,"Amy Adams, Morgan Freeman, Kate Winslet",18666,491.06
tt1000519,The Kingdom 412,2013,PG-13,103,War,8.1,,An epic war tale directed by Ryan Coogler.,Ryan Coogler,"Robert Downey Jr., Scarlett Johansson, Anthony Hopkins, Morgan Freeman, Viola Davis",79734,916.56
tt1000444,Lost Secrets 337,2001,PG-13,115,"Family, Crime",8.1,71.0,A family film set in 2001.,Frank Darabont,"Edward Norton, Morgan Freeman, Scarlett Johansson, Natalie Portman",149664,62.77
tt1000014,The Green Mile,1940,PG-13,117,"Crime, Adventure",8.1,70.0,A crime film set in 1940.,Sam Mendes,"Keanu Reeves, Margot Robbie, Al Pacino, Daniel Day-Lewis",7820,
tt1000349,Final Kingdom 242,2012,NC-17,88,"Fantasy, Drama, Documentary",8.1,85.0,An epic fantasy tale directed by Wes Anderson.,Wes Anderson,"Emma Stone, Cate Blanchett, Samuel L. Jackson",949114,
tt1000947,Last Mystery 840,2024,PG-13,89,Animation,8.1,,A animation film set in 2024.,Hayao Miyazaki,"Emma Stone, Tom Hanks, Meryl Streep, Denzel Washington",20774,640.57
tt1000000,The Shawshank Redemption,1950,G,129,"Romance, Musical",8.1,85.0,A romance film set in 1950.,Sam Mendes,"Emma Stone, Jennifer Lawrence, Natalie Portman, Zendaya, Denzel Washington",189823,156.84
tt1000001,The Godfather,1970,R,150,Sci-Fi,8.1,75.0,An epic sci-fi tale directed by Taika Waititi.,Taika Waititi,"Florence Pugh, Meryl Streep, Daniel Day-Lewis, Denzel Washington",50569,7.41
tt1000978,First Mystery 871,2016,R,137,"Comedy, Action, Thriller",8.1,,A comedy film set in 2016.,Edgar Wright,"Cate Blanchett, Robert De Niro, Al Pacino, Timothée Chalamet, Tom Hanks",48396,421.14
tt1000020,The Lion King,1944,PG,110,"Romance, War",8.1,,An epic romance tale directed by Ridley Scott.,Ridley Scott,"Gary Oldman, Florence Pugh, Anthony Hopkins, Kate Winslet, Al Pacino",13668,
tt1000333,Dark Legend 226,2015,PG-13,131,"Animation, Mystery",8.1,75.0,A critically acclaimed animation masterpiece.,Akira Kurosawa,"Natalie Portman, Timothée Chalamet, Viola Davis",479306,986.48
tt1000898,Lost Awakening 791,2001,Not Rated,126,Thriller,8.1,88.0,A critically acclaimed thriller masterpiece.,Ridley Scott,"Robert De Niro, Robert Downey Jr., Timothée Chalamet",606704,297.96
tt1000061,Mad Max: Fury Road,1984,PG-13,129,"Animation, Musical, Sci-Fi",8.1,74.0,A thrilling animation adventure.,Spike Lee,"Gary Oldman, Anthony Hopkins, Kate Winslet, Robert De Niro, Al Pacino",209676,214.86
tt1000874,An Secrets 767,2008,PG-13,121,"Horror, Adventure, Fantasy",8.1,96.0,A critically acclaimed horror masterpiece.,David Fincher,"Robert De Niro, Scarlett Johansson, Al Pacino, Denzel Washington, Matt Damon",221414,153.64
tt1000875,Final Journey 768,2013,PG-13,102,Crime,8.1,,A crime film set in 2013.,Francis Ford Coppola,"Jack Nicholson, Will Smith, Matt Damon",341124,
tt1000735,A Love 628,2016,R,129,"Adventure, Biography",8.1,77.0,A critically acclaimed adventure masterpiece.,James Cameron,"Tom Hanks, Viola Davis, Natalie Portman",204140,
tt1000696,An Revolution 589,2004,PG,110,Animation,8.1,72.0,A thrilling animation adventure.,James Cameron,"Robert Downey Jr., Matt Damon, Christian Bale, Daniel Day-Lewis, Mark Ruffalo",195488,474.92
tt1000095,Ordinary People,1993,PG,80,"Mystery, Adventure, Biography",8.1,,A mystery film set in 1993.,Denis Villeneuve,"Chris Hemsworth, Robert Downey Jr., Brad Pitt, Matt Damon",289416,
tt1000059,Thor: Ragnarok,1987,PG-13,149,"War, Adventure",8.1,71.0,A critically acclaimed war masterpiece.,Guillermo del Toro,"Denzel Washington, Zendaya, Harrison Ford",2500000,222.6
tt1000072,Million Dollar Baby,1993,PG,104,"Family, Sci-Fi",8.1,86.0,A critically acclaimed family masterpiece.,Greta Gerwig,"Keanu Reeves, Natalie Portman, Johnny Depp",57820,123.67
